dex,iata,name,city,state,country,latitude,longitude,,,,,
47,0.00E+00,Moriarty,Moriarty,NM,USA,34.98560639,-106.0094661,,,,,
48,0.00E+00,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.2015961,,,,,
50,0F4,Loup City Municipal,Loup City,NE,USA,41.29028694,-98.99064278,,,,,
51,0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,35.38898833,-95.60165111,,,,,
52,0F8,William R Pogue Municipal,Sand Springs,OK,USA,36.17528,-96.15181028,,,,,
53,0F9,Tishomingo Airpark,Tishomingo,OK,USA,34.19592833,-96.67555694,,,,,
54,0G0,North Buffalo Suburban,Lockport,NY,USA,43.10318389,-78.70334583,,,,,
55,0G3,Tecumseh Municipal,Tecumseh,NE,USA,40.39944417,-96.17139694,,,,,
56,0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,,,,,
57,0G7,Finger Lakes Regional,Seneca Falls,NY,USA,42.88062278,-76.78162028,,,,,
58,0H1,Trego Wakeeney,Wakeeney,KS,USA,39.0044525,-99.89289917,,,,,
59,0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,38.36674167,-84.28410056,,,,,
60,0J0,Abbeville Municipal,Abbeville,AL,USA,31.60016778,-85.23882222,,,,,
61,0J4,Florala Municipal,Florala,AL,USA,31.04247361,-86.31156111,,,,,
62,0J6,Headland Municipal,Headland,AL,USA,31.364895,-85.30965556,,,,,
63,0K7,Humboldt Municipal,Humboldt,IA,USA,42.7360825,-94.24524167,,,,,
64,0L5,Goldfield,Goldfield,NV,USA,37.71798833,-117.2384119,,,,,
65,0L7,Jean,Jean,NV,USA,35.76827222,-115.3296378,,,,,
66,0L9,Echo Bay,Overton,NV,USA,36.31108972,-114.4638672,,,,,
67,0M0,Dumas Municipal,Dumas,AR,USA,33.8845475,-91.53429111,,,,,
68,0M1,Scott,Parsons,TN,USA,35.63778,-88.127995,,,,,
69,0M4,Benton County,Camden,TN,USA,36.01122694,-88.12328833,,,,,
70,0M5,Humphreys County,Waverly,TN,USA,36.11659972,-87.73815889,,,,,
71,0M6,Panola County,Batesville,MS,USA,34.36677444,-89.90008917,,,,,
72,0M8,Byerley,Lake Providence,LA,USA,32.82587917,-91.187665,,,,,
73,0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,38.14611639,-120.6481733,,,,,
74,0O4,Corning Municipal,Corning,CA,USA,39.94376806,-122.1713781,,,,,
75,0O5,University,Davis,CA,USA,38.53146222,-121.7864906,,,,,
76,0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639,,,,,
77,0Q6,Shingletown,Shingletown,CA,USA,40.52210111,-121.8177683,,,,,
78,0R0,Columbia-Marion County,Columbia,MS,USA,31.29700806,-89.81282944,,,,,
79,0R1,Atmore Municipal,Atmore,AL,USA,31.01621528,-87.44675972,,,,,
80,0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.97576083,-92.08415167,,,,,
81,0R4,Concordia Parish,Vidalia,LA,USA,31.56683278,-91.50011889,,,,,
82,0R5,David G Joyce,Winnfield,LA,USA,31.96366222,-92.66026056,,,,,
83,0R7,Red River,Coushatta,LA,USA,31.99071694,-93.30739306,,,,,
84,0S7,Dorothy Scott,Oroville,WA,USA,48.958965,-119.4119622,,,,,
85,0S9,Jefferson County International,Port Townsend,WA,USA,48.04981361,-122.8012792,,,,,
86,0V2,Harriet Alexander,Salida,CO,USA,38.53916389,-106.0458483,,,,,
87,0V3,Pioneer Village,Minden,NE,USA,40.5149125,-98.94565083,,,,,
88,0V4,Brookneal/Campbell County,Brookneal,VA,USA,37.14172222,-79.01638889,,,,,
89,0V6,Mission Sioux,Mission,SD,USA,43.30694778,-100.6281936,,,,,
90,0V7,Kayenta,Kayenta,AZ,USA,36.70972139,-110.2367978,,,,,
91,10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,42.40266472,-88.37588917,,,,,
92,10D,Winsted Municipal,Winsted,MN,USA,44.94996278,-94.0669175,,,,,
93,10G,Holmes County,Millersburg,OH,USA,40.53716667,-81.95436111,,,,,
94,10N,Wallkill,Wallkill,NY,USA,41.62787111,-74.13375583,,,,,
95,10U,Owyhee,Owyhee,NV,USA,41.95323306,-116.1876014,,,,,
96,11A,Clayton Municipal,Clayton,AL,USA,31.88329917,-85.48491361,,,,,
97,11D,Clarion Cty,Clarion,PA,USA,41.22581222,-79.44098972,,,,,
98,11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,42.04808278,-88.05257194,,,,,
99,11J,Early County,Blakely,GA,USA,31.39698611,-84.89525694,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
